Earning_ID,Driver_ID,Year,Month,Month_Name,Total_Trips,Trip_Earnings_SAR,Incentives_SAR,Surge_Earnings_SAR,Tips_SAR,Uber_Commission_SAR,VAT_SAR,Net_Earnings_SAR,Hours_Online,Average_Rating,Cancellation_Rate,Active_Days
ERN00000025,DRV00001,2022,7,July,186,7832.47,706.01,566.38,750.67,2099.71,1259.83,6495.99,271.4,4.85,0.09,11
ERN00000026,DRV00001,2022,8,August,103,3257.58,313.96,455.18,356.31,928.19,556.91,2897.93,131.9,4.94,0.12,18
ERN00000027,DRV00001,2022,9,September,22,794.55,70.66,163.46,7.13,239.5,143.7,652.6,31.1,4.68,0.14,13
ERN00000028,DRV00001,2022,10,October,98,3488.31,649.12,606.68,89.52,1023.75,614.25,3195.63,101.1,4.87,0.03,21
ERN00000029,DRV00001,2022,11,November,156,4057,268.84,779.05,279.73,1209.01,725.41,3450.2,156.4,4.11,0.07,13
ERN00000030,DRV00001,2022,12,December,290,7991.23,608.47,1902.51,285.38,2473.43,1484.06,6830.1,269.3,3.97,0.14,18
ERN00000031,DRV00001,2023,1,January,191,5492.49,323.1,930.66,404.07,1605.79,963.47,4581.06,235.7,4.23,0.07,20
ERN00000032,DRV00001,2023,2,February,279,5409.73,332.58,972.11,470.33,1595.46,957.28,4632.01,363.7,4.44,0.13,16
ERN00000033,DRV00001,2023,3,March,83,1574.86,100.81,111.47,318.2,421.58,252.95,1430.81,113.3,4.44,0.04,13
ERN00000034,DRV00001,2023,4,April,281,9950.12,1151.43,2214.34,976.63,3041.12,1824.67,9426.73,243.1,4.2,0.09,24
ERN00000035,DRV00001,2023,5,May,155,4952.74,319.11,743.57,575.53,1424.08,854.45,4312.42,137.8,4.94,0.07,17
ERN00000036,DRV00001,2023,6,June,187,4204.07,378.27,929.57,160.69,1283.41,770.05,3619.14,264.5,4.22,0.09,21
ERN00000037,DRV00001,2023,7,July,116,4376.89,311.74,785.55,109.36,1290.61,774.37,3518.56,116.3,4.85,0.04,12
ERN00000038,DRV00001,2023,8,August,247,8987.92,1073.85,1259.25,722.44,2561.79,1537.08,7944.59,249.3,4.42,0.15,16
ERN00000039,DRV00001,2023,9,September,129,5295.95,666.83,386.63,424.2,1420.64,852.39,4500.58,140.6,4.79,0.15,11
ERN00000040,DRV00001,2023,10,October,27,1205.7,165.58,197.98,8.08,350.92,210.55,1015.87,32.9,4.99,0.1,14
ERN00000041,DRV00001,2023,11,November,55,2449.85,343.42,305.15,186.74,688.75,413.25,2183.16,73.6,4.55,0.08,20
ERN00000042,DRV00001,2023,12,December,32,1050.92,204.54,90.14,5.29,285.27,171.16,894.46,30.5,4.99,0.08,14
ERN00000043,DRV00001,2024,1,January,117,4561.81,704.25,562.6,102.66,1281.1,768.66,3881.56,123.3,4.83,0.08,17
ERN00000044,DRV00001,2024,2,February,141,3235.19,244.66,222.9,361.62,864.52,518.71,2681.14,117.3,4.45,0.07,20
ERN00000045,DRV00001,2024,3,March,252,10894.81,1490.67,2482.75,608.82,3344.39,2006.63,10126.03,265.4,3.9,0.04,25
ERN00000046,DRV00001,2024,4,April,151,4771.75,402.75,424.34,226.06,1299.02,779.41,3746.47,203.3,4.03,0.03,23
ERN00000047,DRV00001,2024,5,May,152,4109.62,710.61,598.38,196.4,1177,706.2,3731.81,206.3,4.31,0.14,19
ERN00000048,DRV00001,2024,6,June,119,4862.23,385.36,591.34,69.21,1363.39,818.04,3726.71,111.3,4.7,0.04,26
ERN00000049,DRV00001,2024,7,July,243,7064.07,855.26,951.67,234.9,2003.93,1202.36,5899.61,342.8,3.94,0.12,13
ERN00000050,DRV00001,2024,8,August,290,7044.21,930.43,1544.23,930.05,2147.11,1288.27,7013.54,369.4,4.22,0.03,27
ERN00000051,DRV00001,2024,9,September,191,3512.4,219.43,352.67,87.14,966.27,579.76,2625.61,171.8,4.72,0.12,14
ERN00000052,DRV00001,2024,10,October,177,6940.8,364.77,1729.81,31.26,2167.65,1300.59,5598.4,188.3,4.01,0.15,23
ERN00000053,DRV00001,2024,11,November,49,2187.17,194.26,236.48,109.04,605.91,363.55,1757.49,40.4,4.7,0.02,24
ERN00000054,DRV00001,2024,12,December,141,2863.14,414.83,295.87,99.54,789.75,473.85,2409.78,211,3.92,0.1,13
ERN00000055,DRV00001,2025,1,January,181,7096.78,1305.41,1694.79,28.52,2197.89,1318.74,6608.87,240,4.01,0.14,28
ERN00000056,DRV00001,2025,2,February,78,1831.46,210.38,189,75.29,505.12,303.07,1497.94,64,4.24,0.15,30
ERN00000057,DRV00001,2025,3,March,23,564.42,79.77,81.54,78.95,161.49,96.89,546.3,25.2,4.73,0.07,16
ERN00000058,DRV00001,2025,4,April,103,3955.36,418.76,283.11,480.06,1059.62,635.77,3441.9,110.2,4.02,0.03,17
ERN00000059,DRV00001,2025,5,May,127,3776.83,734.35,215.98,480.7,998.2,598.92,3610.74,175.8,4.24,0.13,18
ERN00000060,DRV00001,2025,6,June,60,1309.61,189.31,171.36,288.72,370.24,222.15,1366.61,79.6,4.11,0.12,24
ERN00000061,DRV00001,2025,7,July,123,3101.16,362.9,693.15,456.53,948.58,569.15,3096.01,175.2,4.86,0.07,24
ERN00000062,DRV00001,2025,8,August,251,6531.52,1243.61,1548.18,272.83,2019.93,1211.96,6364.25,285.1,3.93,0.06,14
ERN00000063,DRV00001,2025,9,September,44,1371.01,250.28,194.29,187.13,391.32,234.79,1376.6,53.2,4.51,0.15,10
ERN00000064,DRV00001,2025,10,October,169,7144.45,991.33,1575.84,429.9,2180.07,1308.04,6653.41,210.1,3.8,0.12,22
ERN00000065,DRV00001,2025,11,November,218,6502.38,425.65,528.82,365.6,1757.8,1054.68,5009.97,198.2,4.21,0.02,15
ERN00000066,DRV00001,2025,12,December,116,2299.19,334.59,357.84,221.53,664.26,398.55,2150.34,141.2,4.32,0.13,23
ERN00000067,DRV00002,2020,1,January,250,7170.98,900.66,1487.85,1162.89,2164.71,1298.82,7258.85,241,3.97,0.08,16
ERN00000068,DRV00002,2020,2,February,126,2652.91,335.75,621.68,34.39,818.65,491.19,2334.89,101.6,4.04,0.14,15
ERN00000069,DRV00002,2020,3,March,158,5692.32,1053.73,1390.19,454.16,1770.63,1062.38,5757.39,133.4,3.83,0.07,28
ERN00000070,DRV00002,2020,4,April,237,9488.01,1051.96,944.34,274.1,2608.09,1564.85,7585.47,285.6,4.27,0.15,18
ERN00000071,DRV00002,2020,5,May,108,4392.76,718.3,637.69,74.13,1257.61,754.57,3810.7,89.3,4.19,0.12,21
ERN00000072,DRV00002,2020,6,June,297,7121.62,537.3,1458.69,49.16,2145.08,1287.05,5734.64,367.3,3.94,0.14,13
ERN00000073,DRV00002,2020,7,July,292,12531.3,2380.93,2170.8,267.98,3675.52,2205.31,11470.18,267.8,4.46,0.11,21
ERN00000074,DRV00002,2020,8,August,128,3303.49,557.17,326.56,22.68,907.51,544.51,2757.88,125.3,4.53,0.04,26
ERN00000075,DRV00002,2020,9,September,188,4638.43,811.74,912.18,546.56,1387.65,832.59,4688.67,241,4.91,0.08,21
ERN00000076,DRV00002,2020,10,October,91,2299.91,277.03,194.42,428.24,623.58,374.15,2201.87,103.8,4.19,0.14,22
ERN00000077,DRV00002,2020,11,November,182,6285.68,566.61,1320.86,187.53,1901.63,1140.98,5318.07,235.2,4.77,0.03,30
ERN00000078,DRV00002,2020,12,December,211,6980.55,1348.16,772.64,130.45,1938.3,1162.98,6130.52,209,4.66,0.04,21
ERN00000079,DRV00002,2021,1,January,79,3250.14,242.82,168.36,181.13,854.62,512.77,2475.06,86.1,4.46,0.15,23
ERN00000080,DRV00002,2021,2,February,193,6789.52,909.61,1551.37,661.4,2085.22,1251.13,6575.55,183.4,4.11,0.09,24
ERN00000081,DRV00002,2021,3,March,152,3203.15,574.55,214.73,146.17,854.47,512.68,2771.45,194.6,4.39,0.02,21
ERN00000082,DRV00002,2021,4,April,219,5522.25,597.96,896.7,844.71,1604.74,962.84,5294.04,236.8,4.23,0.06,24
ERN00000083,DRV00002,2021,5,May,111,4296.16,341.23,921.68,505.88,1304.46,782.68,3977.81,97.3,4.31,0.04,18
ERN00000084,DRV00002,2021,6,June,97,2559.64,363.98,553.88,238.45,778.38,467.03,2470.54,98.1,4.89,0.12,11
ERN00000085,DRV00002,2021,7,July,85,2382.71,142.16,441.05,398.27,705.94,423.56,2234.69,84.9,4.24,0.09,14
ERN00000086,DRV00002,2021,8,August,288,10259.34,1170.07,2270.14,937.69,3132.37,1879.42,9625.45,306.9,4.33,0.04,12
ERN00000087,DRV00002,2021,9,September,50,1246.98,147.91,295.94,75.85,385.73,231.44,1149.51,60.8,4.89,0.13,30
ERN00000088,DRV00002,2021,10,October,296,5765.73,1070.21,1130.68,1285.48,1724.1,1034.46,6493.54,253.2,4.94,0.12,21
ERN00000089,DRV00002,2021,11,November,118,2974.47,413.44,457.63,327.83,858.02,514.81,2800.54,164.1,4.27,0.1,10
ERN00000090,DRV00002,2021,12,December,284,8129.69,530.79,848.17,1390.21,2244.46,1346.68,7307.72,236.4,4.17,0.05,10
ERN00000091,DRV00002,2022,1,January,219,8128.39,1559.58,899.12,804.93,2256.88,1354.13,7781.01,215.3,4,0.06,11
ERN00000092,DRV00002,2022,2,February,85,3787.89,488.91,875.35,398.36,1165.81,699.49,3685.21,73.8,4,0.06,19
ERN00000093,DRV00002,2022,3,March,285,10488.01,1079.45,954.38,307.36,2860.6,1716.36,8252.24,413.8,4.64,0.08,26
ERN00000094,DRV00002,2022,4,April,200,5844.39,340.19,849.95,430.46,1673.59,1004.15,4787.25,272.3,3.92,0.14,21
ERN00000095,DRV00002,2022,5,May,148,6141.19,966.89,1428.13,597.49,1892.33,1135.4,6105.97,183.3,4.79,0.03,19
ERN00000096,DRV00002,2022,6,June,201,7449.4,892.97,1435.16,715.66,2221.14,1332.68,6939.37,166.8,4.65,0.03,11
ERN00000097,DRV00002,2022,7,July,120,3834.41,237.44,424.59,103.23,1064.75,638.85,2896.07,108.2,4.83,0.14,18
ERN00000098,DRV00002,2022,8,August,44,1409.51,241.64,255.58,28.55,416.27,249.76,1269.25,65.8,4.22,0.12,30
ERN00000099,DRV00002,2022,9,September,293,12234.59,807.73,2808.53,218.82,3760.78,2256.47,10052.42,307.3,4.96,0.03,26
ERN00000100,DRV00002,2022,10,October,41,755.58,50.48,39.24,1.43,198.71,119.22,528.8,50.1,4.54,0.12,20
ERN00000101,DRV00002,2022,11,November,81,2144.3,284.86,145.48,84.44,572.45,343.47,1743.16,104.5,4.07,0.04,15
ERN00000102,DRV00002,2022,12,December,206,7953,1224.99,687.08,687.6,2160.02,1296.01,7096.64,174.3,4.78,0.13,24
ERN00000103,DRV00002,2023,1,January,291,10311.52,1617.43,2462.08,1434.12,3193.4,1916.04,10715.71,329.2,4.26,0.13,15
ERN00000104,DRV00002,2023,2,February,26,920.92,124.36,218.03,25.02,284.74,170.84,832.75,38.5,4.48,0.06,13
ERN00000105,DRV00002,2023,3,March,167,5931.78,666.39,602.6,386.31,1633.6,980.16,4973.32,208.1,4.45,0.11,24
ERN00000106,DRV00002,2023,4,April,277,5854.39,364.01,1334.69,623.4,1797.27,1078.36,5300.86,341.3,4.29,0.09,25
ERN00000107,DRV00002,2023,5,May,88,2207.75,199.39,363.97,428.92,642.93,385.76,2171.34,99.1,4,0.03,11
ERN00000108,DRV00002,2023,6,June,173,5311.86,511.31,923.71,850.4,1558.89,935.34,5103.05,199.8,3.85,0.04,14
ERN00000109,DRV00002,2023,7,July,132,4502.7,733.12,978.58,449.26,1370.32,822.19,4471.15,168.2,4.22,0.13,26
ERN00000110,DRV00002,2023,8,August,266,6048.7,747.81,1247.45,1157.29,1824.04,1094.42,6282.79,335.2,3.9,0.11,24
ERN00000111,DRV00002,2023,9,September,110,2541.98,176.22,224.07,235.09,691.51,414.91,2070.94,145.6,4.93,0.1,16
ERN00000112,DRV00002,2023,10,October,285,11658.77,2178.99,1300.67,1339.87,3239.86,1943.92,11294.52,357,4.73,0.1,17
ERN00000113,DRV00002,2023,11,November,152,2825.67,395.2,399.32,599.82,806.25,483.75,2930.01,210,4.14,0.1,22
ERN00000114,DRV00002,2023,12,December,220,8073.58,1166.84,1860.73,204.53,2483.58,1490.15,7331.95,191.7,4.54,0.09,20
ERN00000115,DRV00002,2024,1,January,155,3271.51,215.61,796.8,530.89,1017.08,610.25,3187.48,184.3,4.21,0.11,19
ERN00000116,DRV00002,2024,2,February,189,5967.71,382.71,607.65,112.66,1643.84,986.3,4440.59,178.4,4.73,0.05,12
ERN00000117,DRV00002,2024,3,March,208,6509.05,1000.15,1262.02,1037.05,1942.77,1165.66,6699.84,284.1,4.62,0.12,15
ERN00000118,DRV00002,2024,4,April,288,9469.82,1465.93,866.79,57.33,2584.15,1550.49,7725.23,427.9,4.27,0.1,20
ERN00000119,DRV00002,2024,5,May,299,12742.31,1439.47,2591.85,545.96,3833.54,2300.12,11185.93,359.5,4.85,0.13,26
ERN00000120,DRV00002,2024,6,June,222,9766.47,620.8,1977.66,449.47,2936.03,1761.62,8116.75,199.7,4.3,0.11,15
ERN00000121,DRV00002,2024,7,July,152,4481.26,566.42,734.14,254.96,1303.85,782.31,3950.62,122.2,4.95,0.11,30
ERN00000122,DRV00002,2024,8,August,235,8818.3,1045.93,1937.05,127.57,2688.84,1613.3,7626.71,210.9,4.86,0.1,21
ERN00000123,DRV00002,2024,9,September,145,4368.46,782.07,934.35,84.57,1325.7,795.42,4048.33,120.4,4.88,0.09,12
ERN00000124,DRV00002,2024,10,October,197,8329.51,1552.94,1885.05,114.52,2553.64,1532.18,7796.2,166.4,4.63,0.13,19
ERN00000125,DRV00002,2024,11,November,102,4265.67,794.66,736.63,2.89,1250.58,750.35,3798.92,119.1,4.37,0.02,17
ERN00000126,DRV00002,2024,12,December,206,8916.99,1075.23,1472.8,306.28,2597.45,1558.47,7615.38,277.2,4.29,0.03,26
ERN00000127,DRV00002,2025,1,January,135,3631.85,426.53,631.84,340.92,1065.92,639.55,3325.67,155.3,4.83,0.09,11
ERN00000128,DRV00002,2025,2,February,84,2362.56,367.52,210.88,60.32,643.36,386.02,1971.9,101.5,4.64,0.11,30
ERN00000129,DRV00002,2025,3,March,77,2599.66,455.52,205.8,248.16,701.37,420.82,2386.95,88.1,4.88,0.11,29
ERN00000130,DRV00002,2025,4,April,41,1328.88,208.03,248.16,59.74,394.26,236.56,1213.99,58.1,4.91,0.13,29
ERN00000131,DRV00002,2025,5,May,100,2267.02,427.28,378.1,54.28,661.28,396.77,2068.63,128.2,4.02,0.05,12
ERN00000132,DRV00002,2025,6,June,22,857.94,73.82,153.69,71.5,252.91,151.74,752.3,21.2,3.89,0.03,27
ERN00000133,DRV00002,2025,7,July,64,1664.26,102.98,227.66,299.57,472.98,283.79,1537.7,68,4.21,0.14,25
ERN00000134,DRV00002,2025,8,August,58,1981.77,302.77,308.48,204,572.56,343.54,1880.92,76.9,4.3,0.1,13
ERN00000135,DRV00002,2025,9,September,55,2088.89,106.88,313.46,142.68,600.59,360.35,1690.97,46.3,4.31,0.09,29
ERN00000136,DRV00002,2025,10,October,156,6316.92,454.84,377.65,703.12,1673.64,1004.19,5174.7,140.5,4.06,0.09,24
ERN00000137,DRV00002,2025,11,November,23,668.84,56.84,103.13,38.16,192.99,115.8,558.18,28.2,4.67,0.11,10
ERN00000138,DRV00002,2025,12,December,298,5720.94,672.86,551.82,188,1568.19,940.91,4624.52,351.7,4.02,0.12,21
ERN00000139,DRV00003,2024,3,March,187,5189.99,415.65,956.62,26.71,1536.65,921.99,4130.33,233.2,4.87,0.14,11
ERN00000140,DRV00003,2024,4,April,283,8769.13,1550.54,1598.23,824.04,2591.84,1555.1,8595,377.9,3.91,0.1,30
ERN00000141,DRV00003,2024,5,May,202,5595.62,322.55,450.37,574.53,1511.5,906.9,4524.67,200.4,4.61,0.15,29
ERN00000142,DRV00003,2024,6,June,206,6117.49,474.96,1195.82,129.45,1828.33,1097,4992.39,248.4,4.21,0.09,27
ERN00000143,DRV00003,2024,7,July,90,3145.24,333.62,406.28,374.9,887.88,532.73,2839.43,132.4,3.98,0.06,15
ERN00000144,DRV00003,2024,8,August,248,9564.31,1270.22,1029.72,1196,2648.51,1589.1,8822.64,291.8,3.83,0.05,13
ERN00000145,DRV00003,2024,9,September,191,4546.26,864.07,340.15,268.25,1221.6,732.96,4064.17,273,4.83,0.09,26
ERN00000146,DRV00003,2024,10,October,296,12783.04,2056.73,1596.44,959.27,3594.87,2156.92,11643.69,380.2,4.3,0.11,24
ERN00000147,DRV00003,2024,11,November,99,2173.39,192.69,158.59,75.08,583,349.8,1666.95,84.9,3.89,0.1,10
ERN00000148,DRV00003,2024,12,December,130,3327.98,556.26,514.96,383.01,960.74,576.44,3245.03,179.3,4.22,0.11,13
ERN00000149,DRV00003,2025,1,January,142,4749.35,485.81,422.17,66.47,1292.88,775.73,3655.19,203.1,4,0.11,11
ERN00000150,DRV00003,2025,2,February,111,2740.98,294.26,141.73,543.96,720.68,432.41,2567.84,128.3,4.5,0.08,29
ERN00000151,DRV00003,2025,3,March,278,12284.9,884.08,1066.81,1236.31,3337.93,2002.76,10131.41,309.9,4.83,0.09,15
ERN00000152,DRV00003,2025,4,April,76,3305.82,253.58,303.89,358.32,902.43,541.46,2777.72,70.6,3.97,0.12,19
ERN00000153,DRV00003,2025,5,May,129,3511.13,355.39,717.72,262.5,1057.21,634.33,3155.2,159,4.3,0.15,14
ERN00000154,DRV00003,2025,6,June,155,6148.61,912.28,1203.09,295.44,1837.92,1102.75,5618.75,226.8,4.81,0.02,25
ERN00000155,DRV00003,2025,7,July,66,1357.54,118.93,285.26,138.99,410.7,246.42,1243.6,97,3.87,0.08,10
ERN00000156,DRV00003,2025,8,August,128,5716.27,507.58,349.88,134.42,1516.54,909.92,4281.69,137.2,4.45,0.13,28
ERN00000157,DRV00003,2025,9,September,184,7105.17,1015.17,817.89,429.31,1980.77,1188.46,6198.31,177.2,4.19,0.13,25
ERN00000158,DRV00003,2025,10,October,134,3335.26,460.87,579.41,85.99,978.67,587.2,2895.66,113.6,4.35,0.07,28
ERN00000159,DRV00003,2025,11,November,261,5778.56,1043.52,1033.31,754.66,1702.97,1021.78,5885.3,362.6,4.66,0.06,13
ERN00000160,DRV00003,2025,12,December,254,7518.04,908.73,884.94,1162.37,2100.74,1260.45,7112.89,215.1,4.84,0.04,20
ERN00000161,DRV00004,2020,5,May,57,2427.47,428,167.49,240.38,648.74,389.24,2225.36,70.9,4.09,0.1,25
ERN00000162,DRV00004,2020,6,June,75,1477.78,168.68,325.98,202.66,450.94,270.56,1453.6,71.3,4.61,0.02,25
ERN00000163,DRV00004,2020,7,July,257,6335.47,903.54,1086.51,498.89,1855.5,1113.3,5855.61,372.4,4.36,0.1,15
ERN00000164,DRV00004,2020,8,August,226,6403.68,430.29,494.6,509.81,1724.57,1034.74,5079.07,260.3,4.65,0.12,30
ERN00000165,DRV00004,2020,9,September,70,1500.73,118.23,228.22,118.41,432.24,259.34,1274.01,62.3,4.52,0.03,23
ERN00000166,DRV00004,2020,10,October,116,2388.38,465.11,447.35,516.44,708.93,425.36,2682.99,129.9,4.48,0.14,22
ERN00000167,DRV00004,2020,11,November,108,2173.44,419.61,141.39,506.74,578.71,347.22,2315.25,88,4.39,0.13,25
ERN00000168,DRV00004,2020,12,December,104,3416.65,404.7,652.98,50.25,1017.41,610.44,2896.73,85.3,4.82,0.03,10
ERN00000169,DRV00004,2021,1,January,148,3300.51,283.01,374.72,481.69,918.81,551.28,2969.84,212.5,4.65,0.14,21
ERN00000170,DRV00004,2021,2,February,242,9508.47,697.35,1096.51,1011.44,2651.24,1590.75,8071.78,297.3,3.99,0.02,22
ERN00000171,DRV00004,2021,3,March,234,4857.5,572.71,1081.15,393.08,1484.66,890.8,4528.98,210.6,4.3,0.12,25
ERN00000172,DRV00004,2021,4,April,129,5536.93,506.85,323.44,92.49,1465.09,879.06,4115.56,176.6,4.21,0.09,24
ERN00000173,DRV00004,2021,5,May,220,4016.45,779.75,222.24,980.56,1059.67,635.8,4303.53,265.9,4.86,0.08,28
ERN00000174,DRV00004,2021,6,June,88,3243.37,635.22,406.04,381.16,912.35,547.41,3206.03,130.9,4.74,0.04,27
ERN00000175,DRV00004,2021,7,July,42,1257.29,183.45,87.33,73.59,336.15,201.69,1063.82,56.8,3.85,0.14,19
ERN00000176,DRV00004,2021,8,August,115,3315.41,280.02,784.3,551.89,1024.93,614.96,3291.73,122.4,3.9,0.13,10
ERN00000177,DRV00004,2021,9,September,234,8558.55,456.31,1607.01,123.01,2541.39,1524.83,6678.66,213.9,3.98,0.11,22
ERN00000178,DRV00004,2021,10,October,187,7979.35,1122.89,558.09,798.19,2134.36,1280.62,7043.54,253.1,4.77,0.15,29
ERN00000179,DRV00004,2021,11,November,83,1783.99,262.06,363.95,137.29,536.99,322.19,1688.11,97.4,3.82,0.14,21
ERN00000180,DRV00004,2021,12,December,110,4115.14,325.59,636.4,416.72,1187.88,712.73,3593.24,98.4,4.67,0.11,10
ERN00000181,DRV00004,2022,1,January,286,7733.3,483.35,1777.59,591.91,2377.72,1426.63,6781.8,324.7,4.28,0.1,18
ERN00000182,DRV00004,2022,2,February,178,4012.79,255.63,533.93,583.19,1136.68,682.01,3566.85,185.1,4.37,0.13,19
ERN00000183,DRV00004,2022,3,March,294,5421.11,678.21,1215.33,453.77,1659.11,995.47,5113.84,272.6,4.4,0.08,21
ERN00000184,DRV00004,2022,4,April,217,8770.19,1652.41,1780.57,352.87,2637.69,1582.61,8335.74,265.2,4.89,0.09,21
ERN00000185,DRV00004,2022,5,May,90,1942.32,259.23,434.35,221.04,594.17,356.5,1906.27,115,4.24,0.05,20
ERN00000186,DRV00004,2022,6,June,294,6524.24,1295.66,1224.95,1246.89,1937.3,1162.38,7192.06,338.8,4.51,0.08,10
ERN00000187,DRV00004,2022,7,July,155,6133.61,1207.36,1344.98,696.44,1869.65,1121.79,6390.95,161.2,4.29,0.04,22
ERN00000188,DRV00004,2022,8,August,52,1560.3,287.59,355.05,71.19,478.84,287.3,1507.99,61.5,4.8,0.07,15
ERN00000189,DRV00004,2022,9,September,95,2275.37,227.72,141.33,217.47,604.17,362.5,1895.22,125.4,4.71,0.09,29
ERN00000190,DRV00004,2022,10,October,175,5978.4,321.14,1368.39,839.07,1836.7,1102.02,5568.28,207.9,3.81,0.07,28
ERN00000191,DRV00004,2022,11,November,246,8476.05,686.3,523.65,649.79,2249.92,1349.95,6735.92,329.5,4.22,0.15,11
ERN00000192,DRV00004,2022,12,December,294,7706.02,693.7,1223.72,572.96,2232.43,1339.46,6624.51,342.5,4.09,0.11,28
ERN00000193,DRV00004,2023,1,January,161,5058.79,544.95,913.56,736.05,1493.09,895.85,4864.41,238.2,5,0.13,18
ERN00000194,DRV00004,2023,2,February,36,1610.94,174.79,292.79,89.9,475.93,285.56,1406.93,43.5,4.26,0.13,19
ERN00000195,DRV00004,2023,3,March,219,6264.25,1084.25,470.61,554.31,1683.71,1010.23,5679.48,269.4,4.59,0.07,27
ERN00000196,DRV00004,2023,4,April,144,4118.69,812.32,619.22,658.43,1184.48,710.69,4313.49,132.9,4.54,0.13,14
ERN00000197,DRV00004,2023,5,May,42,1797.81,262.67,420.28,131.72,554.52,332.71,1725.25,43.1,4.4,0.11,15
ERN00000198,DRV00004,2023,6,June,136,5968.86,415.37,412.75,146.42,1595.4,957.24,4390.76,160.1,4.65,0.09,23
ERN00000199,DRV00004,2023,7,July,156,3316.34,637.84,327.62,500.33,910.99,546.59,3324.55,162.5,4.87,0.06,13
ERN00000200,DRV00004,2023,8,August,72,3213,360.73,198.49,266.78,852.87,511.72,2674.41,67.7,4.01,0.13,12
ERN00000201,DRV00004,2023,9,September,181,3643.07,423.69,640.94,411.22,1071,642.6,3405.32,228.7,4.48,0.14,20
ERN00000202,DRV00004,2023,10,October,150,2832.47,498.32,358.86,511.9,797.83,478.7,2925.02,224.8,4.18,0.14,30
ERN00000203,DRV00004,2023,11,November,31,1308.88,120.29,145.03,105.67,363.48,218.09,1098.3,38.5,4.03,0.14,21
ERN00000204,DRV00004,2023,12,December,33,941.1,135.45,131.69,124.91,268.2,160.92,904.03,31,4.65,0.05,11
