Trip_ID,Rider_ID,Driver_ID,Trip_Date,Trip_Time,Day_of_Week,Pickup_Location,Dropoff_Location,City,Service_Type,Distance_KM,Duration_Minutes,Base_Fare_SAR,Surge_Multiplier,Final_Fare_SAR,Payment_Method,Status,Cancellation_Reason,Driver_Rating,Rider_Rating,Is_Peak_Hour
TRP00000039,RDR000622,DRV00311,12/22/2024 0:00,0.83125,Sunday,Qiblatayn Mosque,Taibah University,Medina,UberComfort,13.7,47,60.09,1,60.09,Cash,No-Show,Payment Issue,3.9,4,1
TRP00000040,RDR000622,DRV00311,8/24/2025 0:00,0.19375,Sunday,Taibah University,Al-Masjid an-Nabawi,Medina,UberXL,27.5,109,84.05,1,84.05,Debit Card,No-Show,Payment Issue,3.9,4,0
TRP00000041,RDR000622,DRV00075,12/12/2021 0:00,0.513888889,Sunday,Qiblatayn Mosque,Taibah University,Medina,UberSELECT,16.5,76,71.45,1,71.45,Credit Card,Completed,Rider Cancelled,4.8,4.2,0
TRP00000042,RDR000622,DRV00179,10/29/2025 0:00,0.468055556,Wednesday,Quba Mosque,Al-Masjid an-Nabawi,Medina,UberX,42.8,111,97.63,1,97.63,Debit Card,Completed,Rider Cancelled,4.5,4.3,0
TRP00000043,RDR000622,DRV00025,5/30/2024 0:00,0.367361111,Thursday,Hejaz Railway Museum,Mount Uhud,Medina,UberBLACK,28.1,119,99.93,1.86,185.87,Cash,Completed,Rider Cancelled,4.4,4.9,1
TRP00000044,RDR000622,DRV00311,9/18/2022 0:00,0.925,Sunday,Quba Mosque,Old Bazaar,Medina,UberX,32,92,127.88,1,127.88,Apple Pay,No-Show,Other,3.9,4,1
TRP00000045,RDR000622,DRV00100,6/24/2023 0:00,0.570833333,Saturday,Hejaz Railway Museum,Quba Mosque,Medina,UberBLACK,29.8,60,116.99,1,116.99,Cash,Completed,Rider Cancelled,4.5,4.7,0
TRP00000046,RDR000622,DRV00367,6/23/2021 0:00,0.98125,Wednesday,Old Bazaar,Date Market,Medina,UberXL,22,98,92.9,1.68,156.07,Mada,Completed,Rider Cancelled,4.9,3.9,1
TRP00000047,RDR000622,DRV00075,11/29/2023 0:00,0.891666667,Wednesday,Hejaz Railway Museum,Al-Masjid an-Nabawi,Medina,UberXL,38.6,98,123.54,1,123.54,Debit Card,Completed,Rider Cancelled,4.8,4.6,0
TRP00000048,RDR000622,DRV00135,7/18/2020 0:00,0.675,Saturday,Quba Mosque,Old Bazaar,Medina,UberXL,23,98,105.46,1,105.46,Debit Card,Completed,Rider Cancelled,4.7,3.6,0
TRP00000049,RDR000622,DRV00321,5/14/2024 0:00,0.304861111,Tuesday,Date Market,Hejaz Railway Museum,Medina,UberXL,25.8,78,129.28,1.35,174.53,Apple Pay,Completed,Rider Cancelled,4.2,4,1
TRP00000050,RDR000622,DRV00095,2/27/2021 0:00,0.981944444,Saturday,Mount Uhud,Old Bazaar,Medina,UberComfort,33.8,95,130.86,1.44,188.44,Debit Card,Completed,Rider Cancelled,5,4.7,1
TRP00000051,RDR000622,DRV00311,3/9/2022 0:00,0.03125,Wednesday,Taibah University,Mount Uhud,Medina,UberSELECT,4,8,39.5,1,39.5,Debit Card,Cancelled,Payment Issue,3.9,4,0
TRP00000052,RDR000622,DRV00367,7/23/2020 0:00,0.7625,Thursday,Rashid Mega Mall,Taibah University,Medina,UberXL,16.7,81,72.76,1.87,136.06,Debit Card,Completed,Rider Cancelled,3.6,4.2,1
TRP00000053,RDR000622,DRV00311,5/4/2021 0:00,0.202083333,Tuesday,Date Market,Old Bazaar,Medina,UberX,44.7,105,174.84,1,174.84,Debit Card,No-Show,Other,3.9,4,0
TRP00000054,RDR000622,DRV00311,6/3/2023 0:00,0.519444444,Saturday,Rashid Mega Mall,Old Bazaar,Medina,UberBLACK,44.6,130,178.74,1,178.74,Debit Card,Cancelled,Rider Cancelled,3.9,4,0
TRP00000055,RDR000622,DRV00179,12/31/2023 0:00,0.261111111,Sunday,Quba Mosque,Qiblatayn Mosque,Medina,UberComfort,9.5,21,37.81,1,37.81,Cash,Completed,Rider Cancelled,3.9,3.8,0
TRP00000056,RDR000622,DRV00019,11/20/2020 0:00,0.884722222,Friday,Old Bazaar,Qiblatayn Mosque,Medina,UberXL,6.9,18,37.84,1,37.84,Debit Card,Completed,Rider Cancelled,3.6,4.7,0
TRP00000057,RDR000622,DRV00179,2/10/2025 0:00,0.790277778,Monday,Old Bazaar,Taibah University,Medina,UberX,22.2,64,74.36,2.33,173.26,Mada,Completed,Rider Cancelled,4.2,4.4,1
TRP00000058,RDR000622,DRV00075,11/22/2021 0:00,0.003472222,Monday,Qiblatayn Mosque,Al-Masjid an-Nabawi,Medina,UberSELECT,26.8,114,85.77,1,85.77,Debit Card,Completed,Rider Cancelled,3.8,4.4,0
TRP00000059,RDR000347,DRV00269,6/22/2025 0:00,0.640277778,Sunday,Riyadh Front,Al Faisaliyah Tower,Riyadh,UberSELECT,30.8,140,107.32,1,107.32,Apple Pay,Completed,Rider Cancelled,4.7,4.3,0
TRP00000060,RDR000347,DRV00168,8/18/2025 0:00,0.347222222,Monday,Kingdom Centre,Panorama Mall,Riyadh,UberBLACK,37.5,75,172.13,1.75,301.23,Apple Pay,Completed,Rider Cancelled,4.3,4.4,1
TRP00000061,RDR000347,DRV00187,6/12/2025 0:00,0.261805556,Thursday,Granada Center,Riyadh Park Mall,Riyadh,UberSELECT,20.8,85,76.25,1,76.25,Apple Pay,Completed,Rider Cancelled,4.6,4,0
TRP00000062,RDR000347,DRV00311,9/11/2025 0:00,0.093055556,Thursday,Kingdom Centre,Granada Center,Riyadh,UberX,29.9,73,127.95,1,127.95,Apple Pay,Cancelled,No Driver Available,3.9,4,0
TRP00000063,RDR000347,DRV00311,9/30/2025 0:00,0.635416667,Tuesday,Panorama Mall,Diplomatic Quarter,Riyadh,UberComfort,18.5,88,80.99,1,80.99,Apple Pay,No-Show,Rider Cancelled,3.9,4,0
TRP00000064,RDR000347,DRV00154,12/18/2025 0:00,0.55625,Thursday,Granada Center,Boulevard Riyadh City,Riyadh,UberX,14.2,41,68.05,1,68.05,Apple Pay,Completed,Rider Cancelled,4.2,4.2,0
TRP00000065,RDR000347,DRV00083,12/11/2025 0:00,0.725,Thursday,Panorama Mall,Al Faisaliyah Tower,Riyadh,UberComfort,44.2,120,147.09,2.37,348.6,Apple Pay,Completed,Rider Cancelled,4,4.2,1
TRP00000066,RDR000347,DRV00114,11/15/2025 0:00,0.839583333,Saturday,Panorama Mall,King Khalid International Airport,Riyadh,UberComfort,23.6,88,113.36,2.08,235.79,Apple Pay,Completed,Rider Cancelled,4.3,4.2,1
TRP00000067,RDR000347,DRV00311,11/13/2025 0:00,0.169444444,Thursday,Panorama Mall,Boulevard Riyadh City,Riyadh,UberSELECT,28.8,91,82.15,1,82.15,Apple Pay,Cancelled,Other,3.9,4,0
TRP00000068,RDR000347,DRV00104,8/19/2025 0:00,0.864583333,Tuesday,Panorama Mall,Diplomatic Quarter,Riyadh,UberX,28.6,77,108.66,1.95,211.89,Cash,Completed,Rider Cancelled,4.2,3.6,1
TRP00000069,RDR000347,DRV00277,7/11/2025 0:00,0.929861111,Friday,King Khalid International Airport,Kingdom Centre,Riyadh,UberSELECT,36.2,104,116.72,1.25,145.9,Apple Pay,Completed,Rider Cancelled,4.3,4.7,1
TRP00000070,RDR000347,DRV00292,9/4/2025 0:00,0.821527778,Thursday,Diriyah,Granada Center,Riyadh,UberBLACK,8.2,27,49.4,1.24,61.26,Apple Pay,Completed,Rider Cancelled,4.9,4.5,1
TRP00000071,RDR000347,DRV00267,8/26/2025 0:00,0.763194444,Tuesday,Riyadh Front,Boulevard Riyadh City,Riyadh,UberXL,38.3,99,131.32,2.49,326.99,Apple Pay,Completed,Rider Cancelled,4.4,4.4,1
TRP00000072,RDR000347,DRV00311,12/28/2025 0:00,0.892361111,Sunday,Boulevard Riyadh City,King Khalid International Airport,Riyadh,UberBLACK,39.2,169,193.39,1,193.39,Apple Pay,Cancelled,Payment Issue,3.9,4,0
TRP00000073,RDR000347,DRV00311,12/14/2025 0:00,0.318055556,Sunday,Al Faisaliyah Tower,Diriyah,Riyadh,UberComfort,28.7,115,120.67,1,120.67,Apple Pay,No-Show,Driver Cancelled,3.9,4,1
TRP00000074,RDR000347,DRV00311,11/6/2025 0:00,0.834722222,Thursday,Boulevard Riyadh City,Granada Center,Riyadh,UberX,26.9,112,71.08,1,71.08,Apple Pay,Cancelled,Payment Issue,3.9,4,1
TRP00000075,RDR000347,DRV00208,7/2/2025 0:00,0.747222222,Wednesday,Al Faisaliyah Tower,Diplomatic Quarter,Riyadh,UberBLACK,41.3,185,141.2,1.17,165.2,Debit Card,Completed,Rider Cancelled,4.6,4,1
TRP00000076,RDR000347,DRV00189,12/9/2025 0:00,0.329861111,Tuesday,Riyadh Front,Diplomatic Quarter,Riyadh,UberSELECT,5.9,18,31.77,2.41,76.57,Apple Pay,Completed,Rider Cancelled,4.4,4.7,1
TRP00000077,RDR000491,DRV00333,10/29/2025 0:00,0.027083333,Wednesday,Kaaba,Jabal al-Nour,Mecca,UberBLACK,11.5,25,80.59,1,80.59,Apple Pay,Completed,Rider Cancelled,3.7,3.6,0
TRP00000078,RDR000491,DRV00333,11/1/2025 0:00,0.129166667,Saturday,Arafat,Zamzam Well,Mecca,UberComfort,18.7,58,95.35,1,95.35,Credit Card,Completed,Rider Cancelled,4.4,4.6,0
TRP00000079,RDR000491,DRV00070,12/14/2025 0:00,0.652083333,Sunday,Jabal Thawr,Muzdalifah,Mecca,UberX,31.7,84,103.14,1,103.14,Apple Pay,Completed,Rider Cancelled,5,4.1,0
TRP00000080,RDR000491,DRV00281,9/6/2025 0:00,0.511805556,Saturday,Arafat,Abraj Al Bait,Mecca,UberXL,5.9,15,51.91,1,51.91,Apple Pay,Completed,Rider Cancelled,3.9,3.7,0
TRP00000081,RDR000491,DRV00311,9/7/2025 0:00,0.717361111,Sunday,Zamzam Well,Arafat,Mecca,UberComfort,16.1,39,73.24,1,73.24,Mada,No-Show,Driver Cancelled,3.9,4,1
TRP00000082,RDR000491,DRV00028,10/1/2025 0:00,0.213194444,Wednesday,Masjid al-Haram,Arafat,Mecca,UberX,17.4,75,63.53,1,63.53,Apple Pay,Completed,Rider Cancelled,3.7,4.1,0
TRP00000083,RDR000491,DRV00311,9/7/2025 0:00,0.644444444,Sunday,Jabal al-Nour,Zamzam Well,Mecca,UberBLACK,6.7,23,51.72,1,51.72,Apple Pay,No-Show,Other,3.9,4,0
TRP00000084,RDR000491,DRV00272,11/20/2025 0:00,0.002083333,Thursday,Hira Cave,Jabal Thawr,Mecca,UberXL,31.5,109,139.41,1,139.41,Apple Pay,Completed,Rider Cancelled,4.4,3.6,0
TRP00000085,RDR000491,DRV00311,11/19/2025 0:00,0.774305556,Wednesday,Jabal al-Nour,Hira Cave,Mecca,UberBLACK,24.8,83,106.12,1,106.12,Mada,Cancelled,Rider Cancelled,3.9,4,1
TRP00000086,RDR000491,DRV00272,11/30/2025 0:00,0.26875,Sunday,Hira Cave,Arafat,Mecca,UberXL,16.6,55,66.44,1,66.44,Apple Pay,Completed,Rider Cancelled,4.5,4.1,0
TRP00000087,RDR000761,DRV00284,11/13/2021 0:00,0.120138889,Saturday,Al Disah Valley,Maqna,Tabuk,UberXL,6.2,26,48.81,1,48.81,Cash,Completed,Rider Cancelled,4.3,4.5,0
TRP00000088,RDR000761,DRV00141,3/22/2025 0:00,0.579861111,Saturday,Tabuk Castle,Tabuk Regional Airport,Tabuk,UberBLACK,15.4,35,73.75,1,73.75,Cash,Completed,Rider Cancelled,4.8,4,0
TRP00000089,RDR000761,DRV00316,2/19/2022 0:00,0.358333333,Saturday,Tayma,Tabuk University,Tabuk,UberBLACK,43.9,195,176.31,1.4,246.83,Cash,Completed,Rider Cancelled,4.9,4.7,1
TRP00000090,RDR000761,DRV00311,6/7/2025 0:00,0.415277778,Saturday,Tabuk Regional Airport,Prince Sultan Park,Tabuk,UberX,9.8,23,41.53,1,41.53,Cash,Cancelled,Rider Cancelled,3.9,4,1
TRP00000091,RDR000761,DRV00053,6/19/2024 0:00,0.266666667,Wednesday,Prince Sultan Park,Al Bad,Tabuk,UberSELECT,8.8,25,52.43,1,52.43,Credit Card,Completed,Rider Cancelled,4.8,3.7,0
TRP00000092,RDR000761,DRV00225,4/9/2025 0:00,0.095138889,Wednesday,Tabuk University,Prince Sultan Park,Tabuk,UberXL,28.1,91,94,1,94,Cash,Completed,Rider Cancelled,3.7,4.5,0
TRP00000093,RDR000761,DRV00311,6/12/2024 0:00,0.888194444,Wednesday,Tabuk Castle,Al Ula,Tabuk,UberXL,44.3,95,138.89,1,138.89,Apple Pay,No-Show,Driver Cancelled,3.9,4,0
TRP00000094,RDR000761,DRV00311,5/1/2023 0:00,0.125,Monday,Tabuk University,Prince Sultan Park,Tabuk,UberComfort,7.6,27,39.08,1,39.08,Cash,Cancelled,No Driver Available,3.9,4,0
TRP00000095,RDR000761,DRV00146,8/26/2025 0:00,0.060416667,Tuesday,Tabuk Castle,Al Bad,Tabuk,UberX,39.1,145,141.68,1,141.68,Cash,Completed,Rider Cancelled,3.7,3.5,0
TRP00000096,RDR000761,DRV00146,12/26/2025 0:00,0.811805556,Friday,Tabuk Regional Airport,Al Disah Valley,Tabuk,UberXL,38.3,104,147.57,2.17,320.23,Cash,Completed,Rider Cancelled,4.6,3.8,1
TRP00000097,RDR000761,DRV00086,1/15/2025 0:00,0.147916667,Wednesday,Al Bad,Tayma,Tabuk,UberSELECT,17.1,83,73.49,1,73.49,Cash,Completed,Rider Cancelled,3.9,3.8,0
TRP00000098,RDR000761,DRV00325,9/30/2025 0:00,0.836111111,Tuesday,Maqna,Al Bad,Tabuk,UberXL,34.4,147,131.55,2.3,302.56,Cash,Completed,Rider Cancelled,4.5,4.4,1
TRP00000099,RDR000761,DRV00231,5/4/2022 0:00,0.586111111,Wednesday,Tabuk University,Al Bad,Tabuk,UberSELECT,36.2,136,113.99,1,113.99,Cash,Completed,Rider Cancelled,3.6,4.1,0
TRP00000100,RDR000761,DRV00399,2/8/2025 0:00,0.110416667,Saturday,Haql,Al Bad,Tabuk,UberXL,21.9,80,109.92,1,109.92,Cash,Completed,Rider Cancelled,4.4,3.8,0
TRP00000101,RDR000761,DRV00311,4/20/2024 0:00,0.16875,Saturday,Tabuk University,Al Disah Valley,Tabuk,UberSELECT,44.2,99,161.1,1,161.1,Mada,Cancelled,Payment Issue,3.9,4,0
TRP00000102,RDR000761,DRV00311,6/3/2024 0:00,0.798611111,Monday,Tabuk Regional Airport,Prince Sultan Park,Tabuk,UberSELECT,18.7,80,78.58,1,78.58,Cash,Cancelled,No Driver Available,3.9,4,1
TRP00000103,RDR000761,DRV00053,1/8/2022 0:00,0.738194444,Saturday,Prince Sultan Park,Al Ula,Tabuk,UberSELECT,33.1,131,154.3,1.52,234.54,Cash,Completed,Rider Cancelled,4.4,3.7,1
TRP00000104,RDR000761,DRV00311,3/20/2022 0:00,0.822916667,Sunday,Al Disah Valley,Tabuk Regional Airport,Tabuk,UberBLACK,18.2,79,101.05,1,101.05,Cash,No-Show,Other,3.9,4,1
TRP00000105,RDR000457,DRV00047,2/29/2024 0:00,0.459027778,Thursday,Abha Regional Airport,Art Street,Abha,UberComfort,42.9,129,166.42,1,166.42,Debit Card,Completed,Rider Cancelled,3.6,4.8,0
TRP00000106,RDR000457,DRV00397,8/19/2025 0:00,0.745138889,Tuesday,Khamis Mushait,Asir National Park,Abha,UberSELECT,39.7,153,144.14,1.66,239.27,Debit Card,Completed,Rider Cancelled,4.7,3.7,1
TRP00000107,RDR000457,DRV00311,2/7/2025 0:00,0.96875,Friday,Rijal Almaa,Art Street,Abha,UberXL,12.1,32,77.33,1,77.33,Debit Card,No-Show,Driver Cancelled,3.9,4,1
TRP00000108,RDR000457,DRV00127,7/5/2024 0:00,0.603472222,Friday,Art Street,Rijal Almaa,Abha,UberBLACK,24.7,121,126.77,1,126.77,Debit Card,Completed,Rider Cancelled,3.6,4.2,0
TRP00000109,RDR000457,DRV00311,11/20/2021 0:00,0.954166667,Saturday,Khamis Mushait,Al Soudah,Abha,UberSELECT,5.6,13,38.93,1,38.93,Debit Card,No-Show,Payment Issue,3.9,4,1
TRP00000110,RDR000457,DRV00115,7/22/2022 0:00,0.622222222,Friday,Abha Regional Airport,Asir National Park,Abha,UberXL,4.3,15,43.55,1,43.55,Apple Pay,Completed,Rider Cancelled,3.5,4.9,0
TRP00000111,RDR000457,DRV00033,9/30/2025 0:00,0.172222222,Tuesday,Asir National Park,Abha Regional Airport,Abha,UberXL,31.9,77,133.54,1,133.54,Debit Card,Completed,Rider Cancelled,3.5,3.8,0
TRP00000112,RDR000457,DRV00259,5/22/2025 0:00,0.814583333,Thursday,Al Muftaha Village,Al Soudah,Abha,UberSELECT,12.2,28,54.8,1.75,95.9,Debit Card,Completed,Rider Cancelled,3.6,4.8,1
TRP00000113,RDR000457,DRV00311,11/8/2024 0:00,0.691666667,Friday,Green Mountain,Abha Palace Hotel,Abha,UberSELECT,20.5,78,72.11,1,72.11,Debit Card,Cancelled,Rider Cancelled,3.9,4,0
TRP00000114,RDR000457,DRV00127,5/2/2023 0:00,0.10625,Tuesday,Khamis Mushait,Saudi German Hospital,Abha,UberBLACK,25.8,81,110.39,1,110.39,Debit Card,Completed,Rider Cancelled,4.6,4,0
TRP00000115,RDR000457,DRV00311,8/30/2022 0:00,0.9875,Tuesday,Al Soudah,Al Muftaha Village,Abha,UberComfort,3.9,14,28.77,1,28.77,Cash,No-Show,Payment Issue,3.9,4,1
TRP00000116,RDR000457,DRV00183,11/7/2024 0:00,0.24375,Thursday,Abha Palace Hotel,Al Soudah,Abha,UberXL,3.6,9,44.18,1,44.18,Debit Card,Completed,Rider Cancelled,4.3,5,0
TRP00000117,RDR000457,DRV00311,9/24/2022 0:00,0.075,Saturday,Green Mountain,Abha Regional Airport,Abha,UberSELECT,39.1,83,148.58,1,148.58,Debit Card,No-Show,No Driver Available,3.9,4,0
TRP00000118,RDR000457,DRV00311,7/22/2023 0:00,0.977777778,Saturday,Al Muftaha Village,Abha Regional Airport,Abha,UberComfort,23.3,81,109.46,1,109.46,Credit Card,No-Show,Rider Cancelled,3.9,4,1
TRP00000119,RDR000457,DRV00248,9/22/2023 0:00,0.827777778,Friday,Abha Palace Hotel,Saudi German Hospital,Abha,UberSELECT,15.8,35,72.08,1.67,120.37,Apple Pay,Completed,Rider Cancelled,3.7,4.2,1
TRP00000120,RDR000457,DRV00364,10/4/2024 0:00,0.553472222,Friday,Asir National Park,Abha Palace Hotel,Abha,UberXL,17.6,77,91.41,1,91.41,Debit Card,Completed,Rider Cancelled,4.5,4.2,0
TRP00000121,RDR000066,DRV00354,12/23/2025 0:00,0.475,Tuesday,Diplomatic Quarter,King Khalid International Airport,Riyadh,UberBLACK,8.6,28,55.24,1,55.24,Mada,Completed,Rider Cancelled,3.7,4.1,0
